ID,Unit Name,Tier,Type,Type2,Race,Chassis,ThreatSpd,ThreatRange,ThreatHP,SrfThreatTotal,SubThreatTotal,AirThreatTotal,tSurfDPS,tSubDPS,tAirDPS,totDPS,maxRange,Vision,Wvision,Intel,Shield,Health,TorpDefRate,Regen,Mass,Energy,BuildTime,Speed,Warnings
UAB4303,Radiance,3,Type,Type2,Aeon,Defense,0,0,89.076923076923,89.076923076923,89.076923076923,89.076923076923,0,0,0,0,0,0,0,,22500,660,0,3,3505,24000,3505,0,
UAB1305,Advanced Mass Fabricator & Storage,3,Type,Type2,Aeon,Structure,0,0,26.653846153846,26.653846153846,26.653846153846,26.653846153846,0,0,0,0,0,0,0,,0,6930,0,4,7500,55500,7500,0,
XSB1203,Improved Power Generator & Storage,2,Type,Type2,Seraphim,Structure,0,0,10.153846153846,10.153846153846,10.153846153846,10.153846153846,0,0,0,0,0,0,0,,0,2640,0,3,2450,11700,2450,0,
UAB1107,Mass Fabricator & Storage,2,Type,Type2,Aeon,Structure,0,0,1.5384615384615,1.5384615384615,1.5384615384615,1.5384615384615,0,0,0,0,0,0,0,,0,400,0,3,720,5400,720,0,
UEB1306,Advanced Power Generator & Storage,3,Type,Type2,UEF,Structure,0,0,50,50,50,50,0,0,0,0,0,0,0,,0,13000,0,4,10800,64800,10800,0,
UAB1304,Advanced Mass Extractor & Storage,3,Type,Type2,Aeon,Structure,0,0,38.076923076923,38.076923076923,38.076923076923,38.076923076923,0,0,0,0,0,0,0,,0,9900,0,3,3200,24000,3200,0,
URB4303,ED5,3,Type,Type2,Cybran,Defense,0,0,73.338461538462,73.338461538462,73.338461538462,73.338461538462,0,0,0,0,0,0,0,,18438,630,0,4,3007,20000,3007,0,
BEB1304,HCPP - X3000,3,Type,Type2,UEF,Structure,0,0,44.846153846154,44.846153846154,44.846153846154,44.846153846154,0,0,0,0,0,0,0,,0,11660,0,5,10800,125000,10800,0,
URB1304,Advanced Mass Extractor & Storage,3,Type,Type2,Cybran,Structure,0,0,38.076923076923,38.076923076923,38.076923076923,38.076923076923,0,0,0,0,0,0,0,,0,9900,0,4,3200,24000,3200,0,
UEB1203,Improved Power Generator & Storage,2,Type,Type2,UEF,Structure,0,0,10.153846153846,10.153846153846,10.153846153846,10.153846153846,0,0,0,0,0,0,0,,0,2640,0,2,2450,11700,2450,0,
URB1107,Mass Fabricator & Storage,2,Type,Type2,Cybran,Structure,0,0,1.5384615384615,1.5384615384615,1.5384615384615,1.5384615384615,0,0,0,0,0,0,0,,0,400,0,4,720,5400,720,0,
XSB1306,Advanced Power Generator & Storage,3,Type,Type2,Seraphim,Structure,0,0,44.423076923077,44.423076923077,44.423076923077,44.423076923077,0,0,0,0,0,0,0,,0,11550,0,6,10800,64800,10800,0,
